time,currency,title,priority,actual,forecast,previous
"2019-03-05T00:30:00","aud","AUD Current Account Balance (Australian Dollar) (4Q)","Medium","-A$7.2b","-A$9.1b","-A$10.8b"
"2019-03-05T00:30:00","aud","AUD Net Exports of Gross Domestic Product (4Q)","Low","-0.2","-0.1","0.4"
"2019-03-05T00:30:00","jpy","JPY Nikkei Japan PMI Composite (FEB)","Medium","50.7","","50.9"
"2019-03-05T00:30:00","jpy","JPY Nikkei Japan PMI Services (FEB)","Medium","52.3","","51.6"
"2019-03-05T01:45:00","cny","CNY Caixin China PMI Composite (FEB)","Medium","50.7","","50.9"
"2019-03-05T01:45:00","cny","CNY Caixin China PMI Services (FEB)","Medium","51.1","53.5","53.6"
"2019-03-05T03:30:00","aud","AUD RBA Cash Rate Target (MAR 05)","High","1.50%","1.50%","1.50%"
"2019-03-05T07:30:00","chf","CHF Consumer Price Index (MoM) (FEB)","Low","0.4%","0.40%","-0.30%"
"2019-03-05T07:30:00","chf","CHF Consumer Price Index (YoY) (FEB)","Medium","0.6%","0.60%","0.60%"
"2019-03-05T07:30:00","chf","CHF CPI EU Harmonized (MoM) (FEB)","Low","0.3%","","-0.60%"
"2019-03-05T07:30:00","chf","CHF CPI EU Harmonized (YoY) (FEB)","Medium","0.7%","","0.70%"
"2019-03-05T07:30:00","chf","CHF Consumer Price Index Core (YoY) (FEB)","Medium","0.40%","0.50%","0.50%"
"2019-03-05T08:45:00","eur","EUR Markit/ADACI Italy Services PMI (FEB)","Low","50.4","49.5","49.7"
"2019-03-05T08:45:00","eur","EUR Markit/ADACI Italy Composite PMI (FEB)","Low","49.6","48.6","48.8"
"2019-03-05T08:50:00","eur","EUR Markit France Services PMI (FEB F)","Low","50.2","49.8","49.8"
"2019-03-05T08:50:00","eur","EUR Markit France Composite PMI (FEB F)","Low","50.4","49.9","49.9"
"2019-03-05T08:55:00","eur","EUR Markit Germany Services PMI (FEB F)","Low","55.3","55.1","55.1"
"2019-03-05T08:55:00","eur","EUR Markit/BME Germany Composite PMI (FEB F)","Low","52.8","52.7","52.7"
"2019-03-05T09:00:00","eur","EUR Markit Eurozone Services PMI (FEB F)","Low","52.8","52.3","52.3"
"2019-03-05T09:00:00","eur","EUR Markit Eurozone Composite PMI (FEB F)","Low","51.9","51.4","51.4"
"2019-03-05T09:00:00","eur","EUR Italian Gross Domestic Product w.d.a. (YoY) (4Q F)","Medium","0.0%","0.10%","0.10%"
"2019-03-05T09:00:00","eur","EUR Italian Gross Domestic Product w.d.a. (QoQ) (4Q F)","Low","-0.10%","-0.20%","-0.20%"
"2019-03-05T09:00:00","gbp","GBP New Car Registrations (YoY) (FEB)","Low","1.40%","","-1.60%"
"2019-03-05T09:30:00","gbp","GBP Markit/CIPS UK Services PMI (FEB)","Medium","51.3","50.0","50.1"
"2019-03-05T09:30:00","gbp","GBP Markit/CIPS UK Composite PMI (FEB)","Medium","51.5","50.1","50.3"
"2019-03-05T09:30:00","gbp","GBP Official Reserves (Changes) (FEB)","Low","$73m","","$1535m"
"2019-03-05T09:30:00","gbp","GBP Financial Policy Committee minutes from Feb. 26 meeting (FEB 26)","Low","","",""
"2019-03-05T10:00:00","eur","EUR Euro-Zone Retail Sales (MoM) (JAN)","Low","1.30%","1.30%","-1.40%"
