market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-06-06 08:00:00,EUR German Factory Orders (MoM) (APR),13,50,3.846153846
2018-06-06 08:00:00,EUR German Factory Orders n.s.a. (YoY) (APR),13,50,3.846153846
2018-09-30 15:30:00,CAD RBC Canadian Manufacturing PMI (SEP),39,150,3.846153846
2018-01-31 14:00:00,CAD MLI Leading Indicator (MoM) (DEC),56,215,3.839285714
2018-07-09 19:00:00,USD U.S. to Sell USD33 Bln 3-Year Notes,36,138,3.833333333
2018-07-09 19:00:00,EUR ECB's Lautenschlaeger Speaks in Frankfurt,36,138,3.833333333
2018-11-21 16:00:00,MXN Bi-Weekly Core CPI (NOV 15),38,145,3.815789474
2018-11-21 16:00:00,MXN Bi-Weekly CPI (NOV 15),38,145,3.815789474
2018-11-21 16:00:00,MXN Bi-Weekly CPI (YoY) (NOV 15),38,145,3.815789474
2019-01-15 15:30:00,USD Import Price Index (MoM) (DEC),54,206,3.814814815
2019-01-15 15:30:00,USD Import Price Index (YoY) (DEC),54,206,3.814814815
2019-01-15 15:30:00,USD Import Price Index ex Petroleum (MoM) (DEC),54,206,3.814814815
2019-01-15 15:30:00,USD Export Price Index (MoM) (DEC),54,206,3.814814815
2019-01-15 15:30:00,USD Export Price Index (YoY) (DEC),54,206,3.814814815
2018-02-12 08:00:00,JPY Machine Tool Orders (YoY) (JAN P),32,122,3.8125
2018-07-31 00:30:00,AUD AiG Performance of Manufacturing Index (JUL),42,160,3.80952381
2018-05-14 14:30:00,USD Empire Manufacturing (MAY),50,189,3.78
2018-05-14 14:30:00,USD Retail Sales Advance (MoM) (APR),50,189,3.78
2018-05-14 14:30:00,USD Retail Sales Ex Auto (MoM) (APR),50,189,3.78
2018-05-14 14:30:00,USD Retail Sales Ex Auto and Gas (APR),50,189,3.78
2018-05-14 14:30:00,USD Retail Sales Control Group (APR),50,189,3.78
2018-01-23 07:00:00,JPY Leading Index CI (NOV F),12,45,3.75
2018-01-23 07:00:00,JPY Coincident Index (NOV F),12,45,3.75
